StateFIPS,State,Year,Deaths
1,Alabama,2000,10
1,Alabama,2001,Suppressed
1,Alabama,2002,Suppressed
1,Alabama,2003,Suppressed
1,Alabama,2004,Suppressed
1,Alabama,2005,Suppressed
1,Alabama,2006,Suppressed
1,Alabama,2007,17
1,Alabama,2008,Suppressed
1,Alabama,2009,Suppressed
1,Alabama,2010,12
1,Alabama,2011,12
1,Alabama,2012,13
1,Alabama,2013,Suppressed
1,Alabama,2014,Suppressed
1,Alabama,2015,Suppressed
1,Alabama,2016,12
1,Alabama,2017,13
1,Alabama,2018,16
1,Alabama,2019,20
1,Alabama,2020,15
1,Alabama,2021,10
1,Alabama,2022,28
2,Alaska,2000,0
2,Alaska,2001,0
2,Alaska,2002,0
2,Alaska,2003,0
2,Alaska,2004,0
2,Alaska,2005,Suppressed
2,Alaska,2006,0
2,Alaska,2007,0
2,Alaska,2008,0
2,Alaska,2009,Suppressed
2,Alaska,2010,Suppressed
2,Alaska,2011,Suppressed
2,Alaska,2012,0
2,Alaska,2013,Suppressed
2,Alaska,2014,0
2,Alaska,2015,0
2,Alaska,2016,0
2,Alaska,2017,Suppressed
2,Alaska,2018,Suppressed
2,Alaska,2019,Suppressed
2,Alaska,2020,Suppressed
2,Alaska,2021,Suppressed
2,Alaska,2022,Suppressed
4,Arizona,2000,37
4,Arizona,2001,30
4,Arizona,2002,43
4,Arizona,2003,56
4,Arizona,2004,42
4,Arizona,2005,82
4,Arizona,2006,113
4,Arizona,2007,50
4,Arizona,2008,50
4,Arizona,2009,90
4,Arizona,2010,97
4,Arizona,2011,117
4,Arizona,2012,109
4,Arizona,2013,92
4,Arizona,2014,69
4,Arizona,2015,93
4,Arizona,2016,177
4,Arizona,2017,221
4,Arizona,2018,187
4,Arizona,2019,212
4,Arizona,2020,373
4,Arizona,2021,418
4,Arizona,2022,517
5,Arkansas,2000,12
5,Arkansas,2001,Suppressed
5,Arkansas,2002,Suppressed
5,Arkansas,2003,Suppressed
5,Arkansas,2004,Suppressed
5,Arkansas,2005,12
5,Arkansas,2006,10
5,Arkansas,2007,12
5,Arkansas,2008,Suppressed
5,Arkansas,2009,Suppressed
5,Arkansas,2010,23
5,Arkansas,2011,24
5,Arkansas,2012,17
5,Arkansas,2013,Suppressed
5,Arkansas,2014,Suppressed
5,Arkansas,2015,19
5,Arkansas,2016,Suppressed
5,Arkansas,2017,12
5,Arkansas,2018,12
5,Arkansas,2019,15
5,Arkansas,2020,13
5,Arkansas,2021,16
5,Arkansas,2022,33
6,California,2000,41
6,California,2001,25
6,California,2002,43
6,California,2003,38
6,California,2004,33
6,California,2005,62
6,California,2006,188
6,California,2007,67
6,California,2008,42
6,California,2009,54
6,California,2010,39
6,California,2011,26
6,California,2012,61
6,California,2013,66
6,California,2014,47
6,California,2015,49
6,California,2016,67
6,California,2017,98
6,California,2018,98
6,California,2019,57
6,California,2020,128
6,California,2021,139
6,California,2022,160
8,Colorado,2000,Suppressed
8,Colorado,2001,Suppressed
8,Colorado,2002,Suppressed
8,Colorado,2003,Suppressed
8,Colorado,2004,Suppressed
8,Colorado,2005,Suppressed
8,Colorado,2006,Suppressed
8,Colorado,2007,0
8,Colorado,2008,Suppressed
8,Colorado,2009,Suppressed
8,Colorado,2010,Suppressed
8,Colorado,2011,Suppressed
8,Colorado,2012,Suppressed
8,Colorado,2013,Suppressed
8,Colorado,2014,Suppressed
8,Colorado,2015,Suppressed
8,Colorado,2016,Suppressed
8,Colorado,2017,Suppressed
8,Colorado,2018,Suppressed
8,Colorado,2019,Suppressed
8,Colorado,2020,11
8,Colorado,2021,15
8,Colorado,2022,14
9,Connecticut,2000,Suppressed
9,Connecticut,2001,0
9,Connecticut,2002,0
9,Connecticut,2003,0
9,Connecticut,2004,Suppressed
9,Connecticut,2005,0
9,Connecticut,2006,Suppressed
9,Connecticut,2007,Suppressed
9,Connecticut,2008,Suppressed
9,Connecticut,2009,Suppressed
9,Connecticut,2010,Suppressed
9,Connecticut,2011,Suppressed
9,Connecticut,2012,Suppressed
9,Connecticut,2013,Suppressed
9,Connecticut,2014,Suppressed
9,Connecticut,2015,0
9,Connecticut,2016,Suppressed
9,Connecticut,2017,Suppressed
9,Connecticut,2018,Suppressed
9,Connecticut,2019,Suppressed
9,Connecticut,2020,Suppressed
9,Connecticut,2021,Suppressed
9,Connecticut,2022,Suppressed
10,Delaware,2000,0
10,Delaware,2001,Suppressed
10,Delaware,2002,Suppressed
10,Delaware,2003,0
10,Delaware,2004,0
10,Delaware,2005,Suppressed
10,Delaware,2006,Suppressed
10,Delaware,2007,0
10,Delaware,2008,0
10,Delaware,2009,0
10,Delaware,2010,0
10,Delaware,2011,Suppressed
10,Delaware,2012,0
10,Delaware,2013,Suppressed
10,Delaware,2014,Suppressed
10,Delaware,2015,0
10,Delaware,2016,Suppressed
10,Delaware,2017,0
10,Delaware,2018,Suppressed
10,Delaware,2019,Suppressed
10,Delaware,2020,Suppressed
10,Delaware,2021,Suppressed
10,Delaware,2022,Suppressed
11,District of Columbia,2000,Suppressed
11,District of Columbia,2001,0
11,District of Columbia,2002,Suppressed
11,District of Columbia,2003,0
11,District of Columbia,2004,0
11,District of Columbia,2005,0
11,District of Columbia,2006,Suppressed
11,District of Columbia,2007,Suppressed
11,District of Columbia,2008,Suppressed
11,District of Columbia,2009,0
11,District of Columbia,2010,Suppressed
11,District of Columbia,2011,13
11,District of Columbia,2012,Suppressed
11,District of Columbia,2013,Suppressed
11,District of Columbia,2014,0
11,District of Columbia,2015,0
11,District of Columbia,2016,Suppressed
11,District of Columbia,2017,Suppressed
11,District of Columbia,2018,0
11,District of Columbia,2019,0
11,District of Columbia,2020,Suppressed
11,District of Columbia,2021,0
11,District of Columbia,2022,Suppressed
12,Florida,2000,Suppressed
12,Florida,2001,19
12,Florida,2002,14
12,Florida,2003,16
12,Florida,2004,25
12,Florida,2005,20
12,Florida,2006,26
12,Florida,2007,14
12,Florida,2008,16
12,Florida,2009,32
12,Florida,2010,23
12,Florida,2011,16
12,Florida,2012,17
12,Florida,2013,16
12,Florida,2014,18
12,Florida,2015,18
12,Florida,2016,29
12,Florida,2017,42
12,Florida,2018,15
12,Florida,2019,27
12,Florida,2020,41
12,Florida,2021,25
12,Florida,2022,35
13,Georgia,2000,Suppressed
13,Georgia,2001,Suppressed
13,Georgia,2002,Suppressed
13,Georgia,2003,Suppressed
13,Georgia,2004,Suppressed
13,Georgia,2005,15
13,Georgia,2006,10
13,Georgia,2007,20
13,Georgia,2008,Suppressed
13,Georgia,2009,16
13,Georgia,2010,26
13,Georgia,2011,12
13,Georgia,2012,12
13,Georgia,2013,Suppressed
13,Georgia,2014,10
13,Georgia,2015,11
13,Georgia,2016,13
13,Georgia,2017,13
13,Georgia,2018,Suppressed
13,Georgia,2019,18
13,Georgia,2020,20
13,Georgia,2021,10
13,Georgia,2022,21
15,Hawaii,2000,Suppressed
15,Hawaii,2001,Suppressed
15,Hawaii,2002,0
15,Hawaii,2003,0
15,Hawaii,2004,0
15,Hawaii,2005,Suppressed
15,Hawaii,2006,Suppressed
15,Hawaii,2007,0
15,Hawaii,2008,Suppressed
15,Hawaii,2009,Suppressed
15,Hawaii,2010,Suppressed
15,Hawaii,2011,0
15,Hawaii,2012,0
15,Hawaii,2013,Suppressed
15,Hawaii,2014,Suppressed
15,Hawaii,2015,Suppressed
15,Hawaii,2016,Suppressed
15,Hawaii,2017,Suppressed
15,Hawaii,2018,0
15,Hawaii,2019,Suppressed
15,Hawaii,2020,0
15,Hawaii,2021,Suppressed
15,Hawaii,2022,Suppressed
16,Idaho,2000,Suppressed
16,Idaho,2001,Suppressed
16,Idaho,2002,0
16,Idaho,2003,Suppressed
16,Idaho,2004,Suppressed
16,Idaho,2005,0
16,Idaho,2006,Suppressed
16,Idaho,2007,Suppressed
16,Idaho,2008,Suppressed
16,Idaho,2009,Suppressed
16,Idaho,2010,0
16,Idaho,2011,Suppressed
16,Idaho,2012,Suppressed
16,Idaho,2013,Suppressed
16,Idaho,2014,Suppressed
16,Idaho,2015,Suppressed
16,Idaho,2016,Suppressed
16,Idaho,2017,Suppressed
16,Idaho,2018,Suppressed
16,Idaho,2019,Suppressed
16,Idaho,2020,Suppressed
16,Idaho,2021,10
16,Idaho,2022,Suppressed
17,Illinois,2000,10
17,Illinois,2001,38
17,Illinois,2002,50
17,Illinois,2003,13
17,Illinois,2004,Suppressed
17,Illinois,2005,13
17,Illinois,2006,49
17,Illinois,2007,16
17,Illinois,2008,Suppressed
17,Illinois,2009,19
17,Illinois,2010,14
17,Illinois,2011,50
17,Illinois,2012,56
17,Illinois,2013,23
17,Illinois,2014,Suppressed
17,Illinois,2015,12
17,Illinois,2016,13
17,Illinois,2017,12
17,Illinois,2018,15
17,Illinois,2019,16
17,Illinois,2020,Suppressed
17,Illinois,2021,11
17,Illinois,2022,35
18,Indiana,2000,Suppressed
18,Indiana,2001,Suppressed
18,Indiana,2002,Suppressed
18,Indiana,2003,Suppressed
18,Indiana,2004,Suppressed
18,Indiana,2005,Suppressed
18,Indiana,2006,11
18,Indiana,2007,Suppressed
18,Indiana,2008,0
18,Indiana,2009,Suppressed
18,Indiana,2010,Suppressed
18,Indiana,2011,20
18,Indiana,2012,23
18,Indiana,2013,Suppressed
18,Indiana,2014,Suppressed
18,Indiana,2015,Suppressed
18,Indiana,2016,Suppressed
18,Indiana,2017,Suppressed
18,Indiana,2018,12
18,Indiana,2019,12
18,Indiana,2020,Suppressed
18,Indiana,2021,11
18,Indiana,2022,21
19,Iowa,2000,Suppressed
19,Iowa,2001,Suppressed
19,Iowa,2002,Suppressed
19,Iowa,2003,Suppressed
19,Iowa,2004,Suppressed
19,Iowa,2005,Suppressed
19,Iowa,2006,Suppressed
19,Iowa,2007,Suppressed
19,Iowa,2008,0
19,Iowa,2009,Suppressed
19,Iowa,2010,Suppressed
19,Iowa,2011,Suppressed
19,Iowa,2012,10
19,Iowa,2013,Suppressed
19,Iowa,2014,Suppressed
19,Iowa,2015,Suppressed
19,Iowa,2016,Suppressed
19,Iowa,2017,Suppressed
19,Iowa,2018,Suppressed
19,Iowa,2019,Suppressed
19,Iowa,2020,Suppressed
19,Iowa,2021,Suppressed
19,Iowa,2022,Suppressed
20,Kansas,2000,Suppressed
20,Kansas,2001,Suppressed
20,Kansas,2002,Suppressed
20,Kansas,2003,Suppressed
20,Kansas,2004,Suppressed
20,Kansas,2005,Suppressed
20,Kansas,2006,20
20,Kansas,2007,12
20,Kansas,2008,Suppressed
20,Kansas,2009,11
20,Kansas,2010,Suppressed
20,Kansas,2011,37
20,Kansas,2012,11
20,Kansas,2013,Suppressed
20,Kansas,2014,Suppressed
20,Kansas,2015,Suppressed
20,Kansas,2016,Suppressed
20,Kansas,2017,Suppressed
20,Kansas,2018,Suppressed
20,Kansas,2019,Suppressed
20,Kansas,2020,Suppressed
20,Kansas,2021,Suppressed
20,Kansas,2022,16
21,Kentucky,2000,Suppressed
21,Kentucky,2001,Suppressed
21,Kentucky,2002,Suppressed
21,Kentucky,2003,Suppressed
21,Kentucky,2004,Suppressed
21,Kentucky,2005,Suppressed
21,Kentucky,2006,Suppressed
21,Kentucky,2007,10
21,Kentucky,2008,Suppressed
21,Kentucky,2009,Suppressed
21,Kentucky,2010,15
21,Kentucky,2011,17
21,Kentucky,2012,Suppressed
21,Kentucky,2013,Suppressed
21,Kentucky,2014,Suppressed
21,Kentucky,2015,Suppressed
21,Kentucky,2016,Suppressed
21,Kentucky,2017,Suppressed
21,Kentucky,2018,10
21,Kentucky,2019,Suppressed
21,Kentucky,2020,Suppressed
21,Kentucky,2021,Suppressed
21,Kentucky,2022,11
22,Louisiana,2000,23
22,Louisiana,2001,10
22,Louisiana,2002,Suppressed
22,Louisiana,2003,Suppressed
22,Louisiana,2004,Suppressed
22,Louisiana,2005,17
22,Louisiana,2006,12
22,Louisiana,2007,Suppressed
22,Louisiana,2008,Suppressed
22,Louisiana,2009,10
22,Louisiana,2010,18
22,Louisiana,2011,17
22,Louisiana,2012,13
22,Louisiana,2013,Suppressed
22,Louisiana,2014,Suppressed
22,Louisiana,2015,10
22,Louisiana,2016,11
22,Louisiana,2017,Suppressed
22,Louisiana,2018,20
22,Louisiana,2019,12
22,Louisiana,2020,14
22,Louisiana,2021,37
22,Louisiana,2022,30
23,Maine,2000,Suppressed
23,Maine,2001,0
23,Maine,2002,Suppressed
23,Maine,2003,Suppressed
23,Maine,2004,0
23,Maine,2005,Suppressed
23,Maine,2006,Suppressed
23,Maine,2007,0
23,Maine,2008,0
23,Maine,2009,0
23,Maine,2010,Suppressed
23,Maine,2011,0
23,Maine,2012,Suppressed
23,Maine,2013,Suppressed
23,Maine,2014,0
23,Maine,2015,0
23,Maine,2016,Suppressed
23,Maine,2017,0
23,Maine,2018,Suppressed
23,Maine,2019,Suppressed
23,Maine,2020,0
23,Maine,2021,Suppressed
23,Maine,2022,0
24,Maryland,2000,Suppressed
24,Maryland,2001,16
24,Maryland,2002,58
24,Maryland,2003,Suppressed
24,Maryland,2004,Suppressed
24,Maryland,2005,46
24,Maryland,2006,44
24,Maryland,2007,20
24,Maryland,2008,18
24,Maryland,2009,Suppressed
24,Maryland,2010,34
24,Maryland,2011,34
24,Maryland,2012,43
24,Maryland,2013,17
24,Maryland,2014,Suppressed
24,Maryland,2015,Suppressed
24,Maryland,2016,29
24,Maryland,2017,Suppressed
24,Maryland,2018,30
24,Maryland,2019,25
24,Maryland,2020,28
24,Maryland,2021,19
24,Maryland,2022,13
25,Massachusetts,2000,Suppressed
25,Massachusetts,2001,Suppressed
25,Massachusetts,2002,Suppressed
25,Massachusetts,2003,Suppressed
25,Massachusetts,2004,Suppressed
25,Massachusetts,2005,Suppressed
25,Massachusetts,2006,Suppressed
25,Massachusetts,2007,0
25,Massachusetts,2008,0
25,Massachusetts,2009,0
25,Massachusetts,2010,Suppressed
25,Massachusetts,2011,Suppressed
25,Massachusetts,2012,0
25,Massachusetts,2013,Suppressed
25,Massachusetts,2014,Suppressed
25,Massachusetts,2015,0
25,Massachusetts,2016,Suppressed
25,Massachusetts,2017,Suppressed
25,Massachusetts,2018,Suppressed
25,Massachusetts,2019,Suppressed
25,Massachusetts,2020,Suppressed
25,Massachusetts,2021,Suppressed
25,Massachusetts,2022,Suppressed
26,Michigan,2000,Suppressed
26,Michigan,2001,16
26,Michigan,2002,11
26,Michigan,2003,Suppressed
26,Michigan,2004,Suppressed
26,Michigan,2005,Suppressed
26,Michigan,2006,20
26,Michigan,2007,Suppressed
26,Michigan,2008,Suppressed
26,Michigan,2009,Suppressed
26,Michigan,2010,Suppressed
26,Michigan,2011,10
26,Michigan,2012,13
26,Michigan,2013,13
26,Michigan,2014,Suppressed
26,Michigan,2015,Suppressed
26,Michigan,2016,Suppressed
26,Michigan,2017,Suppressed
26,Michigan,2018,10
26,Michigan,2019,Suppressed
26,Michigan,2020,12
26,Michigan,2021,12
26,Michigan,2022,16
27,Minnesota,2000,Suppressed
27,Minnesota,2001,19
27,Minnesota,2002,0
27,Minnesota,2003,0
27,Minnesota,2004,Suppressed
27,Minnesota,2005,Suppressed
27,Minnesota,2006,Suppressed
27,Minnesota,2007,Suppressed
27,Minnesota,2008,Suppressed
27,Minnesota,2009,Suppressed
27,Minnesota,2010,0
27,Minnesota,2011,Suppressed
27,Minnesota,2012,11
27,Minnesota,2013,Suppressed
27,Minnesota,2014,Suppressed
27,Minnesota,2015,Suppressed
27,Minnesota,2016,0
27,Minnesota,2017,Suppressed
27,Minnesota,2018,Suppressed
27,Minnesota,2019,Suppressed
27,Minnesota,2020,Suppressed
27,Minnesota,2021,Suppressed
27,Minnesota,2022,Suppressed
28,Mississippi,2000,18
28,Mississippi,2001,Suppressed
28,Mississippi,2002,Suppressed
28,Mississippi,2003,10
28,Mississippi,2004,Suppressed
28,Mississippi,2005,12
28,Mississippi,2006,12
28,Mississippi,2007,11
28,Mississippi,2008,Suppressed
28,Mississippi,2009,12
28,Mississippi,2010,33
28,Mississippi,2011,21
28,Mississippi,2012,16
28,Mississippi,2013,Suppressed
28,Mississippi,2014,Suppressed
28,Mississippi,2015,Suppressed
28,Mississippi,2016,11
28,Mississippi,2017,Suppressed
28,Mississippi,2018,14
28,Mississippi,2019,11
28,Mississippi,2020,Suppressed
28,Mississippi,2021,Suppressed
28,Mississippi,2022,18
29,Missouri,2000,20
29,Missouri,2001,36
29,Missouri,2002,27
29,Missouri,2003,18
29,Missouri,2004,Suppressed
29,Missouri,2005,23
29,Missouri,2006,19
29,Missouri,2007,38
29,Missouri,2008,Suppressed
29,Missouri,2009,14
29,Missouri,2010,25
29,Missouri,2011,46
29,Missouri,2012,50
29,Missouri,2013,15
29,Missouri,2014,12
29,Missouri,2015,14
29,Missouri,2016,23
29,Missouri,2017,18
29,Missouri,2018,25
29,Missouri,2019,11
29,Missouri,2020,Suppressed
29,Missouri,2021,16
29,Missouri,2022,28
30,Montana,2000,Suppressed
30,Montana,2001,Suppressed
30,Montana,2002,Suppressed
